model,accuracy,precision,recall,f1,roc_auc,pr_auc,specificity,brier,train_seconds,inference_ms_per_record,confusion_matrix
dummy,0.5409836065573771,0.0,0.0,0.0,0.5,0.45901639344262296,1.0,0.2483204587163154,0.006525699980556965,0.051113114631200426,"[[33, 0], [28, 0]]"
logistic_regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9512987012987013,0.9233707417020479,0.8181818181818182,0.09184452344406326,0.010934399906545877,0.061342624382528126,"[[27, 6], [2, 26]]"
random_forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9610389610389611,0.9465326400845925,0.8484848484848485,0.0955507394475088,0.612106499960646,1.0735016396330272,"[[28, 5], [2, 26]]"
hist_gradient_boosting,0.9344262295081968,0.9,0.9642857142857143,0.9310344827586207,0.9621212121212122,0.962665342439384,0.9090909090909091,0.07703806337945397,0.08960750000551343,0.07040327849996383,"[[30, 3], [1, 27]]"
